LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0003216936-0001-5,LIMONES PROPERTY MANAGEMENT INC,AGUA ENTERTAINMENT,1032 S WESTERN AVENUE,LOS ANGELES,1032 WESTERN 90006-2313,,,,722110,Full-service restaurants,10,07/01/2020,,"(34.0516, -118.3087)"
0003217597-0001-6,NOOSH MEDITERRANEAN LLC,,8590 W PICO BLVD   SUITE #A,LOS ANGELES,8590 PICO 90035,8590 W PICO BLVD   SUITE #A,LOS ANGELES,90035-2691,722110,Full-service restaurants,5,01/01/2021,,"(34.0535, -118.3781)"
0002885387-0001-4,O WOKS SUSHIMY LLC,,8657 W PICO BLVD,LOS ANGELES,8657 PICO 90035-2316,,,,722110,Full-service restaurants,5,04/02/2015,,"(34.0544, -118.3804)"
0002390744-0001-1,SO FRESH LP,POQUITO MAS - SHERMAN OAKS,13924 VENTURA BLVD,SHERMAN OAKS,13924 VENTURA 91423-3510,POST OFFICE BOX #24200,LOS ANGELES,90024-0200,722110,Full-service restaurants,4,09/16/2008,,"(34.1487, -118.4357)"
0002918364-0001-6,LCZT 2016 INC.,FULL MOON HOUSE,960 N HILL STREET,LOS ANGELES,960 HILL 90012-1758,,,,722110,Full-service restaurants,1,06/13/2016,,"(34.0661, -118.2376)"
0000392918-0002-9,CRP ALAGH CORPORATION,SUBWAY # 24279,18649 DEVONSHIRE STREET,NORTHRIDGE,18649 DEVONSHIRE 91324-1310,,,,722110,Full-service restaurants,12,10/17/2011,,"(34.2572, -118.5394)"
0003171415-0001-9,COUSINS RESTAURANT GROUP INC,YUNOMI HANDROLL,806 E 3RD STREET UNIT #100,LOS ANGELES,806 3RD 90013-1820,,,,722110,Full-service restaurants,0,01/06/2020,,
0003299306-0001-8,LA CHUPERIA MICHELADA MIX,,1145 N Mission,Los Angeles,1145 MISSION 90033,1145 N Mission,Los Angeles,90033-1040,722110,Full-service restaurants,14,07/01/2021,,"(34.0618, 34.0618)"
0003370001-0001-8,DADAMAMA LA INC,NORMA,631 N La Cienega #631,West Hollywood,631 LA CIENEGA 90069,,,,722110,Full-service restaurants,0,07/01/2023,,"(34.0826, 34.0826)"
0000757684-0001-6,ANTONIO ZAMORA,CATERING TACOS JARIPO,10500 CANTARA STREET,SUN VALLEY,10500 CANTARA 91352-4114,,,,722110,Full-service restaurants,2,03/01/1990,,"(34.219, -118.3596)"
0003077823-0001-4,PDS AND NH TENANT LLC,PALEY RESTAURANT,6115 W SUNSET BLVD   SUITE #100,LOS ANGELES,6115 SUNSET 90028-6494,,,,722110,Full-service restaurants,13,05/29/2018,,"(34.0981, -118.3225)"
0003217604-0001-8,AMERICA'S FAMOUS WINGS LLC,AMERICA'S FAMOUS WINGS,5920   SANTA MONICA BLVD,LOS ANGELES,5920 SANTA MONICA 90038,5920   SANTA MONICA BLVD,LOS ANGELES,90038-2043,722110,Full-service restaurants,13,08/02/2020,,"(34.0906, -118.3185)"
0003216929-0001-5,THE BULLZ TRUCKING,BASIC SOLUTION,349 W 45TH STREET,LOS ANGELES,349 45TH 90037-3103,3372 W 8TH STREET,LOS ANGELES,90005-2437,722110,Full-service restaurants,9,06/01/2020,,"(34.0031, -118.2801)"
0002588248-0001-1,KABOB KITCHEN INC,CALIFORNIA KABOB KITCHEN,141 W 11TH STREET,LOS ANGELES,141 11TH 90015-2201,,,,722110,Full-service restaurants,14,11/22/2011,,"(34.0398, -118.2592)"
0000257022-0001-9,PANAGIOTIS/HELEN BECRIS,TAMS BURGERS,904 E MANCHESTER AVENUE,LOS ANGELES,904 MANCHESTER 90001-3745,,,,722110,Full-service restaurants,9,03/01/1973,,"(33.9601, -118.2584)"
0003216632-0001-2,ANGELA NAKALEMA,,10227 MASON AVENUE,CHATSWORTH,10227 MASON 91311-3319,,,,722110,Full-service restaurants,12,01/01/2021,,"(34.2564, -118.5809)"
0003042810-0001-1,YAKITORI TEN INC,LOUDERS,3470 W 6TH STREET   SUITE #2A,LOS ANGELES,3470 6TH 90020-2556,,,,722110,Full-service restaurants,10,03/16/2018,,"(34.0631, -118.2975)"
0000492785-0001-1,GOLDEN PALACE RESTAURANT INC,,6411 LANKERSHIM BLVD,N HOLLYWOOD,6411 LANKERSHIM 91606-2811,,,,722110,Full-service restaurants,2,07/15/1997,,"(34.1866, -118.3877)"
0002648637-0001-6,HAR ENTERPRISE INC,CAFE HLL,632 S HILL STREET,LOS ANGELES,632 HILL 90014-1701,,,,722110,Full-service restaurants,14,01/01/2013,,"(34.0468, -118.2535)"
0003380230-0001-7,HAMACHI LLC,,6130 Avalon #117,Los Angeles,6130 AVALON 90003,6203 S Wilton,Los Angeles,90047-1320,722110,Full-service restaurants,9,06/23/2023,,"(33.9835, 33.9835)"
0000850893-0019-9,KAZI FOODS INC,KENTUCKY FRIED CHICKEN,10501 W PICO BLVD,LOS ANGELES,10501 PICO 90064-2319,3671 SUNSWEPT DRIVE,STUDIO CITY,91604-2325,722110,Full-service restaurants,5,12/18/2001,,"(34.0451, -118.419)"
0003169443-0001-2,DEMOS ATTENTION LLC,HELLO PEOPLE BRUNCH LOUNGE,801 N FAIRFAX AVENUE    #101,LOS ANGELES,801 Fairfax 90046-7248,40 S CHESTNUT PLACE #5110,LONG BEACH,90802-8135,722110,Full-service restaurants,5,01/02/2020,,"(34.0857, -118.3618)"
0002912240-0001-9,G & Z RESTAURANT INC,GOLD MEDAL CHINESE FOOD,1600 W 6TH STREET,LOS ANGELES,1600 6TH 90017-1002,,,,722110,Full-service restaurants,1,06/01/2016,,"(34.0569, -118.2694)"
0002674091-0001-1,WINDWARD BAR & GRILL LLC,BANK OF VENICE,80 WINDWARD AVENUE,VENICE,80 WINDWARD 90291-4102,2 ROSE AVENUE,VENICE,90291-2411,722110,Full-service restaurants,11,04/05/2013,,"(33.9875, -118.4726)"
0003178067-0001-4,CASA NOSTRA TRATTORIA INC,,15306 W SUNSET BLVD,PACIFIC PALISADES,15306 Sunset 90272-3613,,,,722110,Full-service restaurants,11,03/01/2020,,"(34.0474, -118.5259)"
0003172477-0001-7,OSCAR ROLANDO GONZALEZ,MULAS RESTAURANT BAR,3207 E PICO BLVD,LOS ANGELES,3207 Pico 90023-3712,,,,722110,Full-service restaurants,14,01/10/2020,,"(34.0182, -118.2096)"
0003172137-0001-8,"SOPRANO HOLLYWOOD, LLC",SOPRANO,6263   HOLLYWOOD BLVD,LOS ANGELES,6263 HOLLYWOOD 90028,10 W CENTURY DRIVE,LOS ANGELES,90067-3426,722110,Full-service restaurants,13,01/01/2020,,"(34.1017, -118.3261)"
0002713701-0001-6,BOKGA INC,,545 S WESTERN AVENUE UNIT #D,LOS ANGELES,545 WESTERN 90020-4207,,,,722110,Full-service restaurants,10,10/10/2013,,"(34.0645, -118.3091)"
0000246328-0001-7,ANDRES RAMIREZ REYES,CHURROS MEXICANOS,307 E JEFFERSON BLVD #121,LOS ANGELES,307 JEFFERSON 90011-2334,,,,722110,Full-service restaurants,9,04/09/1994,,"(34.0166, -118.2682)"
0003154115-0001-3,UMBERTO FERRI,MIO BABBO,11701 WILSHIRE BLVD SUITE #12B,LOS ANGELES,11701 Wilshire 90025-1547,13200 PACIFIC PROMENADE UNIT #252,PLAYA VISTA,90094-2153,722110,Full-service restaurants,11,10/09/2019,,"(34.0494, -118.4615)"
0002185277-0002-2,YONG SOOK LEE,NEW SEOUL COFFEE SHOP,2666 W OLYMPIC BLVD UNIT #114,LOS ANGELES,2666 OLYMPIC 90006-2808,,,,722110,Full-service restaurants,1,03/10/2010,,"(34.0523, -118.2904)"
0002859751-0001-9,AGI INVESTMENT LLC,KFC,2801 W OLYMPIC BLVD,LOS ANGELES,2801 OLYMPIC 90006-2611,,,,722110,Full-service restaurants,10,09/03/2015,,"(34.0526, -118.2947)"
0003170329-0001-5,TRING ENTERPRISE INC,,1828   MARENGO STREET,LOS ANGELES,1828 MARENGO 90033,1828   MARENGO STREET,LOS ANGELES,90033-1316,722110,Full-service restaurants,14,01/01/2020,,"(34.0579, -118.2108)"
0002344417-0001-7,WIN ENTERPRISE INC,,1570 S WESTERN AVENUE UNIT #100,LOS ANGELES,1570 WESTERN 90006-5829,,,,722110,Full-service restaurants,10,05/20/2008,,"(34.0442, -118.309)"
0003216511-0001-2,PARTEZ LLC,,5416   WHITSETT AVENUE,VALLEY VILLAGE,5416 WHITSETT 91607,5416   WHITSETT AVENUE,VALLEY VILLAGE,91607-1615,722110,Full-service restaurants,2,10/19/2020,,"(34.1692, -118.405)"
0003170288-0001-4,SONIA LOPEZ,LA CABANA ESTILO JEREZ ZACATECAS,2931 E 4TH STREET,LOS ANGELES,2931 4th 90033-4432,2564 LANCASTER AVENUE,LOS ANGELES,90033-1504,722110,Full-service restaurants,14,01/01/2020,,"(34.0375, -118.2041)"
0003285106-0001-6,GABRIEL GALLEGOS JR,THE ORIGINAL TROY'S BURGERS # 1,1240 S SOTO STREET,LOS ANGELES,1240 Soto 90023-2616,,,,722110,Full-service restaurants,14,12/07/2021,,"(34.0268, -118.2193)"
0002728811-0001-1,BLUE MOON HOOKAH INC,,1053 S HILL STREET,LOS ANGELES,1053 HILL 90015-1613,1053 S HILL STREET,LOS ANGELES,90015-1613,722110,Full-service restaurants,14,02/10/2014,,"(34.0408, -118.2591)"
0000448248-0001-1,JOSE LUIS LARIOS,VIVA FRESH MEXICAN GRILL #1,6515 S SEPULVEDA BLVD,LOS ANGELES,6515 SEPULVEDA 90045-1524,,,,722110,Full-service restaurants,0,01/02/1997,,"(33.9807, -118.3946)"
0002381330-0001-8,BEVERLY CONNECTION ROCKETS INC,JOHNNY ROCKETS,100 N LA CIENEGA BLVD UNIT #C123,LOS ANGELES,100 LA CIENEGA 90048-1938,,,,722110,Full-service restaurants,5,10/08/2008,,"(34.0733, -118.3764)"
0003262332-0004-5,FIRST ONE ENTERPRISES INC,POPEYES LOUISIANA KITCHEN,7635 WINNETKA AVENUE,WINNETKA,7635 WINNETKA 91306-2603,17522 SUPERIOR STREET,NORTHRIDGE,91325-1839,722110,Full-service restaurants,3,09/30/2021,,"(34.2094, -118.5712)"
0003213230-0001-9,GOOD BIZ PARTNERS LLC,HONGDAE JOPOK TOPOKKI,3407 W 6TH STREET SUITE #110,LOS ANGELES,3407 6TH 90020-2550,22507   KENT AVENUE,TORRANCE,90505-2367,722110,Full-service restaurants,10,10/01/2020,,"(34.0637, -118.2957)"
0000489678-0001-8,SIZZLER USA RESTAURANTS INC,SIZZLER #219 | SIZZLER RESTAURANTS 219,5856 W MANCHESTER AVENUE,LOS ANGELES,5856 MANCHESTER 90045-4419,23352   MADERO,MISSION VIEJO,92691-2734,722110,Full-service restaurants,11,05/01/1958,,"(33.9598, -118.3845)"
0003169915-0001-1,HYO SIK KWAK,KOREAN KITCHEN HIBACHI BBQ,135   JAPANESE VILLAGE PLAZA MALL   #215,LOS ANGELES,135 JAPANESE VILLAGE PLAZA 90012-3908,,,,722110,Full-service restaurants,14,02/01/2020,,"(34.0493, -118.2402)"
0003169677-0001-8,URBAN KEBAB INC,,11046 MAGNOLIA BLVD,NORTH HOLLYWOOD,11046 Magnolia 91601-3810,,,,722110,Full-service restaurants,2,01/01/2020,,"(34.1646, -118.3721)"
0003251109-0001-1,LUCKY XU INC,,6834   DE SOTO AVENUE,CANOGA PARK,6834 DE SOTO 91303,,,,722110,Full-service restaurants,3,05/01/2021,,"(34.1948, -118.5878)"
0003216942-0001-1,MFR AUTO BODY INC,SIMPLE PARTY,3208 W 8TH STREET,LOS ANGELES,3208 8TH 90005-2122,,,,722110,Full-service restaurants,10,11/26/2019,,"(34.0576, -118.2983)"
0003172938-0001-8,MICHELLE SOLIS,LA MICHOACANA RESTAURANT,1625 E CESAR E CHAVEZ AVENUE,LOS ANGELES,1625 CESAR E CHAVEZ 90033-2411,1625 E CESAR E CHAVEZ AVENUE,LOS ANGELES,90033-2411,722110,Full-service restaurants,14,01/01/2020,,"(34.0514, -118.2178)"
0000376248-0001-1,ESFANDIAR KHOSRAVI,BIG TUMMY SANDWICHES,3277 N SAN FERNANDO ROAD,LOS ANGELES,3277 SAN FERNANDO 90065-1414,,,,722110,Full-service restaurants,13,01/12/1982,,"(34.1178, -118.2488)"
0003288458-0001-0,BELUGA RESTAURANT INC,,5341 SANTA MONICA BLVD,LOS ANGELES,5341 SANTA MONICA 90029-1105,,,,722110,Full-service restaurants,13,01/01/2022,,"(34.091, -118.3059)"
0003251647-0004-2,DRS HOSPITALITY LLC,MCDONALD'S RESTAURANT # 1304,1716   MARENGO STREET,LOS ANGELES,1716 MARENGO 90033,1000   LAKES DRIVE   SUITE #165,WEST COVINA,91790-2914,722110,Full-service restaurants,14,02/01/2021,,"(34.0585, -118.2123)"
0000254002-0001-0,LOS TRES COCHINITOS INC,LOS TRES COCHINITOS,803 W PACIFIC COAST HIGHWAY,WILMINGTON,803 PACIFIC COAST 90744-2556,,,,722110,Full-service restaurants,15,05/01/1973,,"(33.7906, -118.2719)"
0002590300-0001-7,ZONE HEALTHY DISTRIBUTION,,7316 VARNA AVENUE,NORTH HOLLYWOOD,7316 VARNA 91605-4008,,,,722110,Full-service restaurants,2,11/01/2011,,"(34.2037, -118.4247)"
0002250386-0001-1,MANAS INC,MANAS,2823 S VERMONT AVENUE UNIT #C,LOS ANGELES,2823 VERMONT 90007-2230,,,,722110,Full-service restaurants,8,07/10/2006,,"(34.0293, -118.2915)"
0003218036-0001-6,BRAND STREET RESTAURANTS LLC,,5060 KESTER AVENUE UNIT #106,SHERMAN OAKS,5060 Kester 91403-1694,,,,722110,Full-service restaurants,4,09/01/2020,,"(34.1625, -118.4571)"
0002983940-0001-8,ANTONIO VAZQUEZ,POLLOS PIO PIO,7146   FOOTHILL BLVD,TUJUNGA,7146 FOOTHILL 91042,7146   FOOTHILL BLVD,TUJUNGA,91042-2717,722110,Full-service restaurants,7,01/01/2017,,"(34.248, -118.2873)"
0002929466-0005-0,SHAKE SHACK CALIFORNIA LLC,SHAKE SHACK # 1304,330 S HOPE STREET SUITE #223,LOS ANGELES,330 Hope 90071-3115,225 VARICK STREET SUITE #301,NEW YORK,10014-5816,722110,Full-service restaurants,14,03/15/2020,,"(34.0529, -118.2522)"
0000852759-0001-5,ANA GLORIA CARDENAS,ANGELINO'S PIZZA,2201 W WASHINGTON BLVD,LOS ANGELES,2201 WASHINGTON 90018-1402,2201 W WASHINGTON BLVD,LOS ANGELES,90018-1402,722110,Full-service restaurants,10,07/01/1998,,"(34.0399, -118.309)"
0003169515-0001-9,PAO PAK INC,PAO PAK NOODLE AND RICE BAR,5445 HOLLYWOOD BLVD    #A,LOS ANGELES,5445 Hollywood 90027-3466,,,,722110,Full-service restaurants,13,04/26/2019,,"(34.1018, -118.3086)"
0003061537-0001-1,ANGRY CHEF LOS ANGELES INC,ANGELO'S PASTA AND GRILL,404 S FIGUEROA STREET   SUITE #417,LOS ANGELES,404 FIGUEROA 90071-1797,404 S FIGUEROA STREET   #417,LOS ANGELES,90071-1710,722110,Full-service restaurants,14,07/01/2018,,"(34.0526, -118.256)"
0000473431-0001-5,FAYEZA CHAMMAA,SUNNIN BAKERY,1776 WESTWOOD BLVD,LOS ANGELES,1776 WESTWOOD 90024-5608,,,,722110,Full-service restaurants,5,06/05/1996,,"(34.0503, -118.4375)"
0003232922-0001-7,FRESH FOOD HOLDING,GJELINA,1429   ABBOT KINNEY BLVD   BUILDING,VENICE,1429 ABBOT KINNEY 90291,322   SUNSET AVENUE   OFFICE,VENICE,90291-2632,722110,Full-service restaurants,11,01/01/2021,,"(33.9905, -118.4649)"
0002888434-0001-2,K & M SUNNY INC,KUNG PAO CHINA BISTRO,15025   VENTURA BLVD,SHERMAN OAKS,15025 VENTURA 91403-2442,560 W MAIN STREET SUITE #C,ALHAMBRA,91801-3376,722110,Full-service restaurants,4,02/17/2016,,"(34.153, -118.4606)"
0000575816-0003-0,SLAB CO LLC,CHEEBO,1958 COLORADO BLVD,EAGLE ROCK,1958 Colorado 90041-1246,,,,722110,Full-service restaurants,14,11/16/2021,,"(34.1392, -118.2103)"
0000192551-0001-0,JIMMY JR INC,,6124 HOLLYWOOD BLVD,LOS ANGELES,6124 HOLLYWOOD 90028-5304,6233 HOLLYWOOD BLVD,LOS ANGELES,90028-5310,722110,Full-service restaurants,13,02/07/1995,,"(34.1016, -118.323)"
0003076579-0002-6,MANUEL ALBERTO ALVARES VELASQUEZ,MI SOMBRERO AZUL,20039 VANOWEN STREET,WINNETKA,20039 Vanowen 91306-3939,,,,722110,Full-service restaurants,3,01/01/2016,,"(34.1939, -118.5703)"
0003168249-0001-6,ROGELIO MAGANA MARTINEZ,TACOS AL VAPOR LOS 3 POTRILLOS,6811 COMPTON AVENUE,LOS ANGELES,6811 COMPTON 90001-2017,1837 E 68TH STREET,LOS ANGELES,90001-2118,722110,Full-service restaurants,0,12/18/2019,,"(33.9782, -118.248)"
0002294019-0001-0,ARMANDO VILLANUEVA,VILLANUEVA MEXICAN GRILL,20951 DEVONSHIRE STREET,CHATSWORTH,20951 DEVONSHIRE 91311-2313,,,,722110,Full-service restaurants,12,11/16/2007,,"(34.2572, -118.5896)"
0003284324-0001-3,FL MONZA INC,12450 BURBANK BLVD AMECI,12450 Burbank #H,North Hollywood,12450 BURBANK 91607,12450 Burbank #H,North Hollywood,91607-4744,722110,Full-service restaurants,2,12/02/2021,,"(34.1718, 34.1718)"
0003266479-0001-4,KROFT LA GROUP LLC,THE KROFT,629 N BROADWAY,LOS ANGELES,629 BROADWAY 90012,629 N BROADWAY,LOS ANGELES,90012-2801,722110,Full-service restaurants,1,10/01/2021,,"(34.0593, -118.2403)"
0003246468-0001-3,XIN & RAN INC,ASAKUMA SUSHI DELIVERY,2805 ABBOT KINNEY BLVD SUITE #C,VENICE,2805 ABBOT KINNEY 90291-4799,,,,722110,Full-service restaurants,11,03/30/2021,,
0000974926-0001-0,IRMA VASQUEZ,EL MESTIZO  RESTAURANT,15418 LASSEN STREET,MISSION HILLS,15418 LASSEN 91345-2922,15418 LASSEN STREET,MISSION HILLS,91345-2922,722110,Full-service restaurants,7,09/09/1999,,"(34.25, -118.4679)"
0003232981-0001-4,HOMESTATE HOSPITALITIES LLC,,5611 N FIGUEROA STREET   SUITE #211,LOS ANGELES,5611 FIGUEROA 90042,5611 N FIGUEROA STREET   SUITE #211,LOS ANGELES,90042-4718,722110,Full-service restaurants,1,09/28/2015,,"(34.1094, -118.1938)"
0003210988-0001-9,PIERLUIGI USA LLC,PIERLUIGI,8478   MELROSE AVENUE,WEST HOLLYWOOD,8478 MELROSE 90069,,,,722110,Full-service restaurants,0,02/14/2020,,"(34.0822, -118.3756)"
0002493322-0001-0,JEMISOL INC,,13501 AVALON BLVD,LOS ANGELES,13501 AVALON 90061-2605,,,,722110,Full-service restaurants,0,09/01/2008,,"(33.9091, -118.2653)"
0002653548-0002-4,ICHIBANYA USA INC,CURRY HOUSE COCO ICHIBANYA,3500 W 6TH STREET,LOS ANGELES,3500 6TH 90020-5802,2455 SEPULVEDA BLVD UNIT #D,TORRANCE,90501-4342,722110,Full-service restaurants,10,05/19/2014,,"(34.0635, -118.2979)"
0003003617-0001-9,KNJ RESTAURANTS INC,DENNY'S # 8723,9001   TAMPA AVENUE,NORTHRIDGE,9001 TAMPA 91324-3524,POST OFFICE BOX #490,MOORPARK,93020-0490,722110,Full-service restaurants,12,08/24/2017,,"(34.2337, -118.554)"
0000991774-0002-1,CRISOSTOMO JIMENEZ,EL COMPITA,4477 W PICO BLVD,LOS ANGELES,4477 PICO 90019-4244,,,,722110,Full-service restaurants,10,06/15/2008,,"(34.0483, -118.3326)"
0000542443-0001-7,BROADWAY RESTAURANT INC-CARL'S JR,CARLS JR,708 S BROADWAY,LOS ANGELES,708 BROADWAY 90014-2802,,,,722110,Full-service restaurants,14,04/15/1997,,"(34.0451, -118.2534)"
0003235346-0001-5,BACK TO OUR ROOTS,BEELMAN'S,600 S SPRING STREET,LOS ANGELES,600 Spring 90014-1979,600 S SPRING STREET #R1,LOS ANGELES,90014-1979,722110,Full-service restaurants,14,09/19/2019,,"(34.0455, -118.2509)"
0003172125-0001-5,FALAFEL INC,SAJJ MEDITERRENEAN,630 W 6TH STREET   SUITE #110B,LOS ANGELES,630 6TH 90017,630 W 6TH STREET   UNIT #110B,LOS ANGELES,90017-3260,722110,Full-service restaurants,14,01/27/2020,,"(34.049, -118.2562)"
0003105210-0003-1,"AMERICAN BEAUTY VENTURE, LLC",THE WIN-DOW SILVERLAKE,1529 GRIFFITH PARK BLVD,LOS ANGELES,1529 GRIFFITH PARK 90026-1049,2434 LINCOLN BLVD FLOOR #3,VENICE,90291-6035,722110,Full-service restaurants,13,08/15/2021,,"(34.0906, -118.2772)"
0000703231-0001-1,HOLMAN ENTERPRISES INC,PICKWICKS PUB,21010 VENTURA BLVD,WOODLAND HLS,21010 VENTURA 91364-2201,,,,722110,Full-service restaurants,3,05/01/1989,,"(34.1666, -118.591)"
0003147953-0001-0,STAR OF INDIA INC,STAR OF INDIA,730   VINE STREET,LOS ANGELES,730 VINE 90038,730   VINE STREET,LOS ANGELES,90038-3723,722110,Full-service restaurants,13,09/11/2019,,"(34.0847, -118.3264)"
0002532437-0002-2,GOURMANDISE PARIS INC,TRATTONIA NATALIE,8681 W PICO BLVD,LOS ANGELES,8681 PICO 90035-2315,,,,722110,Full-service restaurants,5,07/01/2013,,"(34.0542, -118.381)"
0003124417-0001-8,LEANDRO MANUEL VARGAS SIMOZA,FLAMINGO?S,1805   EL CERRITO PLACE   APT #401,LOS ANGELES,1805 EL CERRITO 90068,7041   VAN NUYS BLVD,LOS ANGELES,91409-1409,722110,Full-service restaurants,4,04/23/2019,,"(34.1041, -118.3452)"
0002490600-0002-4,PRAKOPSUP SEESOD,DARABAR THAI CUISINE,5112 HOLLYWOOD BLVD #108-109,LOS ANGELES,5112 HOLLYWOOD 90027-6126,,,,722110,Full-service restaurants,13,08/01/2011,,"(34.1017, -118.3009)"
0000027381-0001-1,"KDFMC, A CALIFORNIA CORPORATION",KAY 'N DAVE'S,15246 W SUNSET BLVD,PACIFIC PALISADES,15246 SUNSET 90272-3611,10543 W PICO BLVD,LOS ANGELES,90064-2319,722110,Full-service restaurants,11,07/15/1992,,"(34.0466, -118.5249)"
0002847342-0001-6,IPSILON LLC,ZEBULON,2478 FLETCHER DRIVE,LOS ANGELES,2478 FLETCHER 90039-2802,,,,722110,Full-service restaurants,13,08/11/2015,,"(34.1073, -118.2549)"
0003067692-0002-1,THIRD STREET ENTERPRISES,,7149 BEVERLY BLVD,LOS ANGELES,7149 Beverly 90036-2548,8868 W SUNSET BLVD,WEST HOLLYWOOD,90069-2108,722110,Full-service restaurants,5,03/18/2021,,"(34.0764, -118.3454)"
0003168495-0001-2,JUANA E. RAMIREZ,ESPERANZA RESTAURANT,4801 HOOPER AVENUE,LOS ANGELES,4801 Hooper 90011-4225,1422 W 59TH STREET,LOS ANGELES,90047-1209,722110,Full-service restaurants,9,01/01/2020,,"(34.0002, -118.2522)"
0003234906-0001-2,"FRIDA ENTERPRISES ,INC",MARLIN'S SEA FOOD BURRITO,1943   PACIFIC COAST HIGHWAY   SPACE,LOMITA,1943 PACIFIC COAST 90717,1379 W PARK WESTERN DRIVE   SUITE #353,SAN PEDRO,90732-2300,722110,Full-service restaurants,0,01/20/2021,,"(33.7896, -118.3137)"
0003168268-0001-9,CRENSHAW BUFFET INC,,3650 W MARTIN LUTHER KING JR BLVD   SUITE #287,LOS ANGELES,3650 MARTIN LUTHER KING JR 90008,3650 W MARTIN LUTHER KING JR BLVD   SUITE #287,LOS ANGELES,90008-1784,722110,Full-service restaurants,8,12/18/2019,,"(34.0104, -118.3367)"
0002467513-0001-7,NORTH END PIZZERIA LA INC,NORTH END PIZZERIA,8514 W 3RD STREET,LOS ANGELES,8514 3RD 90048-4114,,,,722110,Full-service restaurants,5,10/17/2009,,"(34.0735, -118.3782)"
0000270659-0001-2,RONI PACHECO,A-Z SHEET METAL AND RESTAURANT EQUIPMENT,14626 TITUS STREET,PANORAMA CITY,14626 TITUS 91402-4977,7238 RESEDA BLVD,RESEDA,91335-3045,722110,Full-service restaurants,6,01/01/2001,,"(34.2196, -118.4518)"
0003081825-0001-6,MEDITERRANEAN GRILLED CAFE INC,NEDAS KITCHEN,101 W 3RD STREET,LOS ANGELES,101 3RD 90013-1303,,,,722110,Full-service restaurants,14,09/01/2018,,"(34.0496, -118.2458)"
0002799455-0001-2,LE OOEY GOOEY,MELVIN ROGERS STOVALL III,1730 N GRAMERCY PLACE APT #106,LOS ANGELES,1730 GRAMERCY 90028,,,,722110,Full-service restaurants,13,03/15/2015,,"(34.1022, -118.3122)"
0000271871-0001-7,DFG RESTAURANTS INC,CARLS JR RESTAURANT #7487,7649 VAN NUYS BLVD,VAN NUYS,7649 VAN NUYS 91405-1359,1 CENTERPOINTE DRIVE SUITE #400,LA PALMA,90623-2530,722110,Full-service restaurants,6,11/27/2000,,"(34.2095, -118.4488)"
0003011510-0001-1,CHRISTINA LEE,TO SOC CHON,356 S WESTERN AVENUE   SUITE #106,LOS ANGELES,356 WESTERN 90020-3814,,,,722110,Full-service restaurants,10,10/20/2017,,"(34.0674, -118.3087)"
0000789009-0001-4,KANTARO SUSHI,KANTARO SUSHI,1542 W CARSON STREET,TORRANCE,1542 CARSON 90501-3933,1542 W CARSON STREET,TORRANCE,90501-3933,722110,Full-service restaurants,15,06/01/1991,,"(33.8314, -118.305)"
0003169847-0001-3,THAI ON HILLHURST LLC,,1850   HILLHURST AVENUE,LOS ANGELES,1850 HILLHURST 90027,3941   VESELICH AVENUE   SUITE #146,LOS ANGELES,90039-1490,722110,Full-service restaurants,4,01/01/2020,,"(34.1047, -118.2871)"
0003171111-0001-6,ONEFIVE TRADING CORP,,4083 W 3RD STREET,LOS ANGELES,4083 3RD 90020,4083 W 3RD STREET,LOS ANGELES,90020-3130,722110,Full-service restaurants,10,01/01/2020,,"(34.0691, -118.3024)"
0000161086-0001-6,T M PIZZA INC,DOMINOS PIZZA,2101 W CENTURY BLVD,LOS ANGELES,2101 CENTURY 90047-4007,15198 DOWNEY AVENUE,PARAMOUNT,90723-4594,722110,Full-service restaurants,0,02/16/1995,,"(33.9454, -118.316)"
0002528689-0001-5,"KRUA THAI GROUP, INC",KRUA THAI RESTAURANT,13130 SHERMAN WAY,NORTH HOLLYWOOD,13130 SHERMAN 91605-4645,,,,722110,Full-service restaurants,2,10/01/2010,,"(34.2012, -118.4188)"
0003218578-0001-1,"MID-CITY PIZZA, LLC",BOOTLEG PIZZA,5504 W PICO BLVD   BUILDING,LOS ANGELES,5504 PICO 90019,1709   WILCOX AVENUE,LOS ANGELES,90028-5103,722110,Full-service restaurants,10,09/30/2020,,"(34.049, -118.3581)"
0000126211-0001-5,NGHIA V HUYNH,CLASSIS DONUT,4352 LAUREL CANYON BLVD,STUDIO CITY,4352 LAUREL CANYON 91604-1709,,,,722110,Full-service restaurants,2,11/27/2000,,"(34.0, -118.0)"
0000195355-0011-1,PANDA EXPRESS INC,PANDA EXPRESS 175,308 WESTWOOD PLAZA,LOS ANGELES,308 WESTWOOD 90095-8355,1683 WALNUT GROVE AVENUE,ROSEMEAD,91770-3711,722110,Full-service restaurants,5,01/11/1993,,"(34.0731, -118.4448)"
